,C,K,rounds,df_loc
0,1,50,10,./data/acc_test_20210825-191956.csv
1,1,100,10,./data/acc_test_20210825-191956.csv
2,1,1000,10,./data/acc_test_20210825-191956.csv
3,0.5,50,10,./data/acc_test_20210825-191956.csv
4,0.5,100,10,./data/acc_test_20210825-191956.csv
5,0.5,1000,10,./data/acc_test_20210825-191956.csv
6,0.1,50,10,./data/acc_test_20210825-191956.csv
7,0.1,100,10,./data/acc_test_20210825-191956.csv
8,0.1,1000,10,./data/acc_test_20210825-191956.csv
