C,K,rounds,epochs,df_loc
1,12,10,1,./data/acc_test_20210826-010128.csv
1,12,10,3,./data/acc_test_20210826-010331.csv
1,12,10,7,./data/acc_test_20210826-010637.csv
1,50,10,1,./data/acc_test_20210826-010753.csv
1,50,10,3,./data/acc_test_20210826-011021.csv
1,50,10,7,./data/acc_test_20210826-011513.csv
1,100,10,1,./data/acc_test_20210826-011703.csv
1,100,10,3,./data/acc_test_20210826-012014.csv
1,100,10,7,./data/acc_test_20210826-012446.csv
1,1000,10,1,./data/acc_test_20210826-013716.csv
1,1000,10,3,./data/acc_test_20210826-015222.csv
1,1000,10,7,./data/acc_test_20210826-021837.csv
0.5,12,10,1,./data/acc_test_20210826-021906.csv
0.5,12,10,3,./data/acc_test_20210826-021955.csv
0.5,12,10,7,./data/acc_test_20210826-022125.csv
0.5,50,10,1,./data/acc_test_20210826-022206.csv
0.5,50,10,3,./data/acc_test_20210826-022314.csv
0.5,50,10,7,./data/acc_test_20210826-022517.csv
0.5,100,10,1,./data/acc_test_20210826-022611.csv
0.5,100,10,3,./data/acc_test_20210826-022733.csv
0.5,100,10,7,./data/acc_test_20210826-022946.csv
0.5,1000,10,1,./data/acc_test_20210826-023534.csv
0.5,1000,10,3,./data/acc_test_20210826-024411.csv
0.5,1000,10,7,./data/acc_test_20210826-025821.csv
0.1,12,10,1,./data/acc_test_20210826-025841.csv
0.1,12,10,3,./data/acc_test_20210826-025908.csv
0.1,12,10,7,./data/acc_test_20210826-025948.csv
0.1,50,10,1,./data/acc_test_20210826-030011.csv
0.1,50,10,3,./data/acc_test_20210826-030040.csv
0.1,50,10,7,./data/acc_test_20210826-030120.csv
0.1,100,10,1,./data/acc_test_20210826-030150.csv
0.1,100,10,3,./data/acc_test_20210826-030226.csv
0.1,100,10,7,./data/acc_test_20210826-030313.csv
0.1,1000,10,1,./data/acc_test_20210826-030601.csv
0.1,1000,10,3,./data/acc_test_20210826-030922.csv
0.1,1000,10,7,./data/acc_test_20210826-031351.csv
